imdb_id,original_title,cn_titles,release_year,summary,genres,directors,scriptwriters,actors,length,douban_average_score,douban_star_rating,number_of_ratings,link
tt000001,小人物2,小人物2,2025,该片是环球动作片《小人物》的续集，讲述了哈奇在与俄罗斯黑帮交手4年后，很享受这份激烈的打斗“工作”，但他与家人关系日益疏远。于是，他决定带着家人去旅游小镇度假。然而，一次与小镇恶霸的冲突后，让全家人卷入了一场纷争之中的故事。,喜剧 / 动作 / 惊悚 / 犯罪,喜剧 动作 惊悚 犯罪,德里克·科尔斯塔德 / 艾伦·拉宾,提莫·塔哈亚托,89分钟,6.3,3.15,8405,https://www.douban.com/doubanapp/dispatch?uri=/movie/36176467
tt000002,周四推理俱乐部,周四推理俱乐部,2025,影片改编自理查德·奥斯曼的同名畅销小说，描述四位闲不下来的退休人士认真推敲谋杀悬案解闷，却碰上了真正的命案，侦探游戏突然变成惊悚现实，而他们还得找出凶手是谁。,喜剧 / 悬疑 / 惊悚 / 犯罪,喜剧 悬疑 惊悚 犯罪,凯蒂·布兰德 / 苏珊·希思柯特 / 理查德·奥斯曼,克里斯·哥伦布,118分钟,6.8,3.4,8802,https://www.douban.com/doubanapp/dispatch?uri=/movie/36767890
tt000003,天国与地狱,天国与地狱,2025,"当有权有势的音乐大亨（丹泽尔·华盛顿 饰）成为被勒索的对象，他被迫维护自己的家庭与丰功伟业，同时面对攸关生死的道德难题。
影片改编自黑泽明同名经典电影，原著是爱德华·伯恩斯的小说《King's Ransom》。",剧情 / 悬疑 / 惊悚 / 犯罪,剧情 悬疑 惊悚 犯罪,艾伦·福克斯,斯派克·李,133分钟,6.1,3.05,1765,https://www.douban.com/doubanapp/dispatch?uri=/movie/36770063
tt000004,不认识的女友,不认识的女友,2025,本片改编自法国电影《致我的陌生恋人》，讲述了大学时代互相一见钟情并结婚的神林陆（ 中岛健人 饰）和南（milet 饰）的故事。以小说家为目标的陆，在南的支持下，一下子成为人气畅销书作家。另一方面，喜欢唱歌的南没能实现歌手的梦想，和每天都忙于工作的陆交错的生活感到孤独。有一天，因为陆无心的一句话，2人大吵了一架。第二天早上，陆醒来后发现南的身影不见了，去出版社碰头会的时候遇到的人们和他完全谈不上话，他感到很困惑。本应是人气作家的自己，如今却成了文艺杂志的一名编辑部职员，街上到处都是与自己素不相识的天才创作歌手“前园南”的身影和歌曲。陆一边困惑，一边为了找回人生的全部而奔走。,爱情 / 奇幻,爱情 奇幻,登米裕一 / 福谷圭祐,三木孝浩,未知,6.5,3.25,500,https://www.douban.com/doubanapp/dispatch?uri=/movie/36788576
tt000005,地球上的星星2,地球上的星星2,2025,该片是 阿米尔·汗2007年的电影《地球上的星星》的续集，改编自西班牙电影《篮球冠军》 (2018)，由阿米尔·汗主演。,剧情 / 喜剧 / 运动,剧情 喜剧 运动,迪芙亚·妮迪·沙玛,R.S.普拉萨纳,155分钟,6.5,3.25,388,https://www.douban.com/doubanapp/dispatch?uri=/movie/36913121
tt000006,初吻,初吻,2025,"这也是坂元裕二原创的一个爱情故事。
故事关于结婚十五年的一对夫妻，丈夫在一场事故中去世。
而妻子与丈夫长期疏远，两人一直不是很不和睦。
如今，妻子正准备开始新的人生时，却获得了时光旅行的能力。
回到过去，她看到了丈夫与她相遇之前的模样。
看到年轻时的丈夫，她想，我果然是喜欢这个人的，再次与丈夫相遇的她再次坠入爱河。然后，她想，必须要救活在十五年后遇难的他……
“夫妻是什么？”
“家庭是什么？”
“和所爱之人共度一生是什么？”
每个人在生活中都会面临的、深奥而简单的问题。
这就是这部电影将讨论的主题。",爱情 / 奇幻,爱情 奇幻,坂元裕二,冢原亚由子,124分钟,8.5,4.25,18268,https://www.douban.com/doubanapp/dispatch?uri=/movie/36894170
tt000007,同甘共苦,同甘共苦,2025,多年情侣蒂姆（戴夫·弗兰科 Dave Franco 饰）和米莉（爱丽森·布里 Alison Brie 饰）来到感情脆弱的关口，开始思考爱是……为了挽回渐淡的感情，决定抛开朋友和工作搬到陌生乡村展开全新二人世界。然而新生活未如理想，更卷入了当地一场超自然力量的恐怖漩涡。身体及意识渐渐变得不受控，当他们的心愈远，肉体却愈贴愈近，肌肤甚至开始无缝结合……电锯是否还给大家自由的唯一解救方法？但染血的爱又那可修补，莫问爱是分离！,爱情 / 恐怖,爱情 恐怖,迈克尔·尚克斯,迈克尔·尚克斯,101分钟(中国大陆),6.9,3.45,17720,https://www.douban.com/doubanapp/dispatch?uri=/movie/36772728
tt000008,凶器,凶器,2025,同一个晚上的同一个时间，同一个班级里的所有小孩，都神秘地失踪了，除了一个小孩。整个小镇都开始怀疑，究竟是谁或背后有什么原因，导致这些小孩都不见了？,剧情 / 悬疑 / 惊悚 / 恐怖,剧情 悬疑 惊悚 恐怖,扎克·克雷格,扎克·克雷格,128分钟,7.0,3.5,9566,https://www.douban.com/doubanapp/dispatch?uri=/movie/36221247
tt000009,坏蛋联盟2,坏蛋联盟2,2025,大坏狼（山姆·洛克威尔 Sam Rockwell 配音）带领坏蛋联盟五人组欲意改邪归正，却遭“狂野姐妹”上线踢馆，面对再干一票的诱惑，是重操旧业还是反杀破局？,喜剧 / 动作 / 动画 / 悬疑 / 犯罪 / 冒险,喜剧 动作 动画 悬疑 犯罪 冒险,尤尼·布伦纳 / 伊坦·柯亨 / 艾伦·布拉培,皮埃尔·佩里费尔 J·P·桑斯,104分钟,7.6,3.8,45472,https://www.douban.com/doubanapp/dispatch?uri=/movie/36829507
tt000010,恶意,恶意,2025,影片围绕着滨江三院一起费解的双人坠楼案展开，资深媒体人叶攀（张小斐 饰）始终秉持追寻真相的原则，她在调查中先后将护士李悦和母亲尤茜报道为嫌疑人，却因此引发舆情，事态逐渐失控。,剧情 / 悬疑,剧情 悬疑,陈思诚 / 张臻 / 李翔星,来牧宽 姚文逸,100分钟,6.2,3.1,54819,https://www.douban.com/doubanapp/dispatch?uri=/movie/36809947
