item_id,original_title,release_year,genres,rating,rating_num,s_hat_5,prior_m,C
tt0000417,Le Voyage dans la Lune,1902,Science Fiction/Adventure,4.0,2461330.0,4.0,3.58,80
tt0010323,Das Cabinet des Dr. Caligari,1920,Crime/Drama/Thriller/Horror,,0.0,3.58,3.58,80
tt0015324,Sherlock Jr.,1924,Comedy/Action/Mystery,4.4,1107520.0,4.4,3.58,80
tt0015648,Броненосец Потёмкин,1925,Drama/History/War,4.0,1049670.0,4.0,3.58,80
tt0017136,Metropolis,1927,Drama/Science Fiction,4.3,2231080.0,4.3,3.58,80
tt0019254,La Passion de Jeanne d'Arc,1928,Drama/History,4.4,1230950.0,4.4,3.58,80
tt0019760,Человек с киноаппаратом,1929,Documentary,4.3,806850.0,4.3,3.58,80
tt0020530,Un Chien Andalou,1929,Horror,3.9,1283590.0,3.9,3.58,80
tt0021749,City Lights,1931,Drama/Comedy/Romance,4.3,1605100.0,4.3,3.58,80
tt0021814,Dracula,1931,Horror,3.6,1281370.0,3.6,3.58,80
tt0021884,Frankenstein,1931,Science Fiction/Drama/Horror,3.8,1735370.0,3.8,3.58,80
tt0022100,M - Eine Stadt sucht einen Mörder,1931,Thriller/Drama/Crime,4.3,1849900.0,4.3,3.58,80
tt0025316,It Happened One Night,1934,Romance/Comedy,4.2,1154500.0,4.2,3.58,80
tt0026138,Bride of Frankenstein,1935,Science Fiction/Horror,4.0,1047190.0,4.0,3.58,80
tt0027977,Modern Times,1936,Drama/Romance/Comedy,4.3,2348590.0,4.3,3.58,80
tt0029583,Snow White and the Seven Dwarfs,1937,Family/Fantasy/Animation,3.4,4851090.0,3.4,3.58,80
tt0029947,Bringing Up Baby,1938,Romance/Comedy,4.0,957550.0,4.0,3.58,80
tt0031381,Gone with the Wind,1939,War/Romance/Drama,3.9,2155080.0,3.9,3.58,80
tt0032138,The Wizard of Oz,1939,Adventure/Fantasy/Family,,0.0,3.58,3.58,80
tt0032455,Fantasia,1940,Family/Animation/Fantasy,3.9,2591410.0,3.9,3.58,80
tt0032553,The Great Dictator,1940,Comedy/War,4.3,1613550.0,4.3,3.58,80
tt0032599,His Girl Friday,1940,Romance/Comedy,4.0,1047230.0,4.0,3.58,80
tt0032910,Pinocchio,1940,Family/Animation/Fantasy,3.5,3374620.0,3.5,3.58,80
tt0032976,Rebecca,1940,Mystery/Thriller/Romance,4.1,1402140.0,4.1,3.58,80
tt0033467,Citizen Kane,1941,Drama/Mystery,4.2,5498050.0,4.2,3.58,80
tt0033563,Dumbo,1941,Animation/Family,,0.0,3.58,3.58,80
tt0033870,The Maltese Falcon,1941,Mystery/Thriller/Crime,3.9,1329510.0,3.9,3.58,80
tt0034492,Bambi,1942,Drama/Animation/Family,3.5,3555760.0,3.5,3.58,80
tt0034583,Casablanca,1942,Drama/Romance,4.3,6578680.0,4.3,3.58,80
tt0036775,Double Indemnity,1944,Crime/Thriller,4.3,1848020.0,4.3,3.58,80
tt0037558,Brief Encounter,1945,Romance/Drama,4.3,911020.0,4.3,3.58,80
tt0038650,It’s a Wonderful Life,1946,Family/Fantasy/Drama,4.4,5699260.0,4.4,3.58,80
tt0038787,Notorious,1946,Thriller/Romance/Mystery,4.1,1055940.0,4.1,3.58,80
tt0039192,Black Narcissus,1947,Drama,4.0,733320.0,4.0,3.58,80
tt0040522,Ladri di biciclette,1948,Drama,4.3,2328220.0,4.3,3.58,80
tt0040725,The Red Shoes,1948,Drama/Romance,4.4,1332040.0,4.4,3.58,80
tt0040746,Rope,1948,Crime/Thriller/Drama,4.1,2767720.0,4.1,3.58,80
tt0041959,The Third Man,1949,Thriller/Mystery,4.2,1656780.0,4.2,3.58,80
tt0042192,All About Eve,1950,Drama,4.4,1234350.0,4.4,3.58,80
tt0042332,Cinderella,1950,Fantasy/Romance/Animation/Family,3.5,3899280.0,3.5,3.58,80
tt0042876,羅生門,1950,Crime/Drama/Mystery,4.2,2453000.0,4.2,3.58,80
tt0044079,Strangers on a Train,1951,Thriller/Crime,4.1,1490880.0,4.1,3.58,80
tt0044081,A Streetcar Named Desire,1951,Thriller/Drama,4.0,1342810.0,4.0,3.58,80
tt0044741,生きる,1952,Drama,4.5,1591270.0,4.5,3.58,80
tt0045152,Singin’ in the Rain,1952,Comedy/Romance,4.3,5175190.0,4.3,3.58,80
tt0045810,Gentlemen Prefer Blondes,1953,Comedy/Romance,3.9,1312290.0,3.9,3.58,80
tt0046183,Peter Pan,1953,Fantasy/Animation/Family/Adventure,3.5,3165920.0,3.5,3.58,80
tt0046250,Roman Holiday,1953,Romance/Comedy/Drama,4.2,2529680.0,4.2,3.58,80
tt0046438,東京物語,1953,Drama,4.4,1276790.0,4.4,3.58,80
tt0046911,Les Diaboliques,1955,Horror/Thriller/Mystery,4.2,764700.0,4.2,3.58,80
tt0046912,Dial M for Murder,1954,Thriller/Crime,4.1,1729080.0,4.1,3.58,80
tt0047034,ゴジラ,1954,Horror/Thriller/Science Fiction,4.1,1403890.0,4.1,3.58,80
tt0047296,On the Waterfront,1954,Romance/Drama/Crime,4.2,1276070.0,4.2,3.58,80
tt0047396,Rear Window,1954,Thriller/Mystery,4.4,6957700.0,4.4,3.58,80
tt0047437,Sabrina,1954,Comedy/Romance/Drama,3.9,1143850.0,3.9,3.58,80
tt0048280,Lady and the Tramp,1955,Romance/Animation/Family,3.6,3126280.0,3.6,3.58,80
tt0048424,The Night of the Hunter,1955,Drama/Crime/Thriller/Horror,4.3,1938660.0,4.3,3.58,80
tt0048545,Rebel Without a Cause,1955,Drama,3.8,1620220.0,3.8,3.58,80
tt0049406,The Killing,1956,Thriller/Crime,4.0,1324660.0,4.0,3.58,80
tt0049730,The Searchers,1956,Western,3.9,1166260.0,3.9,3.58,80
tt0050083,12 Angry Men,1957,Drama,4.6,11395190.0,4.6,3.58,80
tt0050212,The Bridge on the River Kwai,1957,War/History/Drama,4.2,1022060.0,4.2,3.58,80
tt0050613,蜘蛛巣城,1957,History/Drama,4.3,1017800.0,4.3,3.58,80
tt0050783,Le notti di Cabiria,1957,Drama,4.4,734000.0,4.4,3.58,80
tt0050825,Paths of Glory,1957,War/Drama,4.4,2556320.0,4.4,3.58,80
tt0050986,Smultronstället,1957,Drama,4.3,1519800.0,4.3,3.58,80
tt0051201,Witness for the Prosecution,1957,Crime/Mystery/Drama,4.4,1004630.0,4.4,3.58,80
tt0052311,Touch of Evil,1958,Thriller/Crime,4.2,948900.0,4.2,3.58,80
tt0052357,Vertigo,1958,Thriller/Romance/Mystery,4.2,6804590.0,4.2,3.58,80
tt0052561,Anatomy of a Murder,1959,Crime/Mystery/Drama,4.2,780240.0,4.2,3.58,80
tt0052893,Hiroshima Mon Amour,1959,Drama/Romance/History,4.2,1245410.0,4.2,3.58,80
tt0053125,North by Northwest,1959,Mystery/Adventure/Thriller,4.2,2933440.0,4.2,3.58,80
tt0053198,Les Quatre Cents Coups,1959,Drama,4.3,2394820.0,4.3,3.58,80
tt0053285,Sleeping Beauty,1959,Romance/Family/Fantasy/Animation,3.6,3476250.0,3.6,3.58,80
tt0053291,Some Like It Hot,1959,Romance/Crime/Comedy,4.3,3097140.0,4.3,3.58,80
tt0053459,Les Yeux sans visage,1960,Drama/Thriller/Horror,3.9,1368410.0,3.9,3.58,80
tt0053472,À bout de souffle,1960,Crime/Drama,3.9,2396130.0,3.9,3.58,80
tt0053779,La Dolce Vita,1960,Drama/Comedy,4.3,1319190.0,4.3,3.58,80
tt0054215,Psycho,1960,Mystery/Thriller/Horror,4.3,11268280.0,4.3,3.58,80
